"","p_delay"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0.0759639954288062
"7",0.110132384853426
"8",0.120860565749432
"9",0.113811168607712
"10",0.101798944516494
"11",0.0858832291118273
"12",0.0792254651446475
"13",0.0624237599352842
"14",0.0488899446577383
"15",0.0415773186609998
"16",0.0312792922353908
"17",0.0244032409250247
"18",0.0187727115140153
"19",0.0174308863750177
"20",0.0128083308722505
"21",0.00960464310019389
"22",0.00740892923637951
"23",0.0059065986979802
"24",0.0043272255678681
"25",0.00414103930456221
"26",0.00347975705902747
"27",0.00253598531054585
"28",0.00164999550584882
"29",0.00166925615377701
"30",0.00132898470704555
"31",0.0012262612514285
"32",0.000898830236649161
"33",0.000950191964457684
"34",0.000770425917127852
"35",0.000802526997008179
"36",0.000751165269199656
"37",0.000918090884577357
"38",0.000764005701151787
"39",0.000757585485175721
"40",0.000571399221869824
"41",0.000532877926013431
"42",0.000481516198204908
"43",0.000507197062109169
"44",0.000372372526611795
"45",0.000301750150875075
"46",0.000250388423066552
"47",0.000288909718922945
"48",0.000186186263305898
"49",0.00014124475147344
"50",0.000134824535497374
"51",8.98830236649161e-05
"52",0.000134824535497374
"53",8.34628076888507e-05
"54",8.34628076888507e-05
"55",6.42021597606544e-05
"56",0.000121984103545243
"57",8.98830236649161e-05
"58",4.4941511832458e-05
"59",7.06223757367198e-05
"60",3.21010798803272e-05
"61",6.42021597606544e-05
"62",7.06223757367198e-05
"63",7.70425917127852e-05
"64",5.13617278085235e-05
